display,name,niche_status,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales,mpstats_path,issues,is_critical
Контрольные блоки свечей накаливания,Контрольные блоки свечей накаливания,,"13,309,731","1,626",2150.0%,0.0%,0.0%,36,Автотовары/Запчасти/Электрооборудование/Запуск и питание/Контрольный блок свечей накаливания,"no_buyout, no_profit",False
Спорт / Сноуборды,Сноуборды,,"12,895,218","4,671",2750.0%,100.0%,0.0%,25,Спорт/Зимние виды спорта/Горные лыжи/Защита/Сноуборды,no_profit,False
Продукты / Язычки медовые,Язычки медовые,,"12,296,702","1,715",1650.0%,0.0%,0.0%,51,Продукты/Здоровое питание/Язычки медовые,"no_buyout, no_profit",False
Подшипники промышленные,Подшипники промышленные,,"12,267,629","1,321",3150.0%,0.0%,0.0%,6,Для ремонта/Силовая техника и оборудование/Промышленное оборудование и комплектующие,"no_buyout, no_profit",False
Противоопухолевые препараты,Противоопухолевые препараты,,"12,103,978","2,532",300.0%,0.0%,0.0%,2,Лекарственные препараты,"no_buyout, no_profit",False
Для ремонта / Рекуператоры,Рекуператоры,,"11,972,794","1,435",2750.0%,0.0%,0.0%,43,Для ремонта/Вентиляция/Комплектующие для систем вентиляции/Рекуператоры,"no_buyout, no_profit",False
Эндокринологические препараты,Эндокринологические препараты,,"11,883,330",366,300.0%,0.0%,0.0%,2,Лекарственные препараты,"no_buyout, no_profit",False
Препараты для пищеварительной системы,Препараты для пищеварительной системы,,"11,462,982","1,404",300.0%,100.0%,0.0%,2,Здоровье/БАДы/Для пищеварения и обмена веществ,no_profit,False
Спорт / Боты для дайвинга,Боты для дайвинга,,"11,322,162","1,406",3450.0%,100.0%,0.0%,53,Спорт/Водные виды спорта/Аксессуары/Боты для дайвинга,no_profit,False
Датчики для микроэлектроники,Датчики для микроэлектроники,,"11,184,933","1,467",2850.0%,0.0%,0.0%,58,Для ремонта/Микроэлектроника/Электронные компоненты/Датчик для микроэлектроники,"no_buyout, no_profit",False
Для ремонта / RGBW усилитель,RGBW усилители,,"10,691,602",929,3200.0%,100.0%,0.0%,49,Для ремонта/Микроэлектроника/Электронные компоненты/RGBW усилитель,no_profit,False
Фурнитура для чемоданов,Фурнитура для чемоданов,,"10,440,530",697,3450.0%,86.7%,0.0%,312,Аксессуары/Чемоданы и защита багажа/Ремень для чемодана,no_profit,False
Указатели правильности чередования фаз,Указатели правильности чередования фаз,seasonal,"9,963,950","11,816",0.0%,100.0%,55.8%,0,Автотовары/Запчасти/Электрооборудование/Датчики автомобильные/Датчик фаз,"no_commission, no_sellers",False
Аппаратура пускорегулирующая,Аппаратура пускорегулирующая,,"9,894,435","1,402",2850.0%,0.0%,0.0%,10,Для ремонта/Микроэлектроника/Оптоэлектроника/Аппаратура пускорегулирующая,"no_buyout, no_profit",False
Цифровые листы для записи,Цифровые листы для записи,seasonal,"9,628,481",274,0.0%,0.0%,6.7%,0,Канцтовары/Бумажная продукция/Ежедневники и записные книжки/Книга для записи рецептов,"no_commission, no_buyout, no_sellers",False
Дом / Фонарики бытовые,Фонарики для луп,,"9,386,074",654,2750.0%,100.0%,0.0%,52,Канцтовары/Офисные принадлежности/Линзы для луп,no_profit,False
Неврологические препараты,Неврологические препараты,,"9,329,132",233,300.0%,0.0%,0.0%,2,Лекарственные препараты,"no_buyout, no_profit",False
Дом / Аккордеоны,Аккордеоны,,"9,301,139","3,123",2850.0%,0.0%,0.0%,14,Дом/Досуг и творчество/Профессиональные музыкальные инструменты/Аккордеон,"no_buyout, no_profit",False
Дом / Гармони,Гармони,,"9,161,274","1,791",2850.0%,0.0%,0.0%,42,Дом/Досуг и творчество/Профессиональные музыкальные инструменты/Гармонь,"no_buyout, no_profit",False
Автотовары / Наборы для ТО,Наборы для ТО,,"9,135,508","3,591",2650.0%,0.0%,0.0%,127,Автотовары/Масла и жидкости/Наборы для ТО,"no_buyout, no_profit",False
Спорт / Баскетбольные щиты,Баскетбольные щиты,,"9,003,372","1,815",2750.0%,83.3%,0.0%,121,Спорт/Командные виды спорта/Баскетбол/Аксессуары и инвентарь/Баскетбольный щит,no_profit,False
Для ремонта / Мел,Ламели для кровати,seasonal,"8,997,694","1,229",0.0%,96.3%,45.8%,0,Дом/Спальня/Мебель/Основание для кровати,"no_commission, no_sellers",False
Тачскрины для планшетов,Тачскрины для планшетов,,"8,997,411",619,2950.0%,100.0%,0.0%,64,Электроника/Смартфоны и телефоны/Запчасти для устройств/Тачскрин для планшета,no_profit,False
Испарители автомобильные,Испарители автомобильные,,"8,942,954","1,280",2650.0%,0.0%,0.0%,110,Автотовары/Автокосметика и автохимия/Очистители автомобильные/Автомобильный ароматизатор,"no_buyout, no_profit",False
Дерматологические препараты,Дерматологические препараты,,"8,877,174",565,300.0%,100.0%,0.0%,2,Лекарственные препараты,no_profit,False
Датчики температуры отработанных газов,Датчики температуры отработанных газов,,"8,761,986","1,500",2650.0%,100.0%,0.0%,44,Автотовары/Запчасти/Электрооборудование/Датчики автомобильные/Датчик температуры отработанных газов,no_profit,False
