display,name,revenue_mln,avg_price,commission_pct,buyout_pct,parent_category,full_path,issues,niche_status,fix_action
Торсионы автомобильные,Торсионы автомобильные,5.1,2971.0,26.5,1.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Солемеры,Солемеры,4.3,493.0,27.5,1.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Шагомеры,Шагомеры,4.0,525.0,27.5,0.5,БЕЗ ПУТИ,,no_path,,Поиск пути
Противоварикозные препараты,Противоварикозные препараты,3.9,0.0,3.0,0.0,Лекарственные препараты,Лекарственные препараты,no_price,,MPStats refresh
Водосгоны автомобильные,Водосгоны автомобильные,3.6,679.0,26.5,0.9113,БЕЗ ПУТИ,,no_path,,Поиск пути
Оксиметры,Оксиметры,3.4,632.0,27.5,1.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Противогрибковые препараты,Противогрибковые препараты,3.3,0.0,3.0,1.0,Лекарственные препараты,Лекарственные препараты,no_price,,MPStats refresh
Автомобили с пробегом,Автомобили с пробегом,3.2,0.0,0.5,0.0,Транспортные средства,Транспортные средства/Автомобили,no_price,,MPStats refresh
Стрелы арбалетные,Стрелы арбалетные,3.1,1038.0,27.5,0.8918,БЕЗ ПУТИ,,no_path,,Поиск пути
Антигистаминные препараты,Антигистаминные препараты,2.6,0.0,3.0,0.0,Лекарственные препараты,Лекарственные препараты,no_price,,MPStats refresh
Подпятники автомобильные,Подпятники автомобильные,2.3,567.0,26.5,0.8952,БЕЗ ПУТИ,,no_path,,Поиск пути
Блокаторы вирусов,Блокаторы вирусов,2.3,582.0,25.5,0.9367,БЕЗ ПУТИ,,no_path,,Поиск пути
Сертификаты расширенной гарантии,Сертификаты расширенной гарантии,1.9,1232.5,27.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Раколовки,Раколовки,1.8,609.0,27.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Разметки для игр,Разметки для игр,1.7,946.5,27.5,0.8,БЕЗ ПУТИ,,no_path,,Поиск пути
Совочки,Совочки,1.6,635.0,23.5,1.0,БЕЗ ПУТИ,,no_path,,Поиск пути
Центроискатели,Центроискатели,1.5,785.0,31.5,0.0,БЕЗ ПУТИ,,no_path,,Поиск пути
