display,name,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales
Дом / Скалки,Скалки,"24,253,715",632,2950.0%,83.5%,57.3%,819
Для ремонта / Анкеры,Анкеры химические,"24,227,665","1,923",3250.0%,87.5%,13.8%,103
Электроника / Трансиверы,Трансиверы,"24,125,280","1,428",2900.0%,100.0%,64.7%,121
Для ремонта / Ключи TORX,Ключи TORX,"24,124,763",862,3150.0%,80.5%,57.9%,358
Сад и дача / Камни для бани,Камни для бани,"24,123,176","1,976",2850.0%,91.1%,67.1%,315
Пистолеты-маркираторы,Пистолеты-маркираторы,"24,106,284","1,067",2650.0%,91.1%,65.7%,283
Электроника / Амбушюры,Амбушюры,"24,053,671",628,2450.0%,85.0%,62.7%,348
Бытовая техника / Фильтры для вытяжки,Фильтры для вытяжки,"24,026,435","1,211",2450.0%,79.0%,68.6%,305
Средства для очистки аквариумной воды,Средства для очистки аквариумной воды,"24,008,821",745,2150.0%,93.7%,67.2%,275
Продукты / Текила,Текила,"23,943,043","4,540",950.0%,70.0%,40.4%,5
Обувь / Краски для обуви,Краски для обуви,"23,929,802",738,3450.0%,91.0%,51.8%,408
Для ремонта / Фанера строительная,Фанера строительная,"23,916,063","1,322",2050.0%,100.0%,73.8%,60
Игрушки / Юла,Юла,"23,823,433",803,2850.0%,88.5%,61.1%,413
Канцтовары / Сейф-пакеты,Сейф-пакеты,"23,811,979","1,408",2950.0%,100.0%,64.8%,246
Сад и дача / Коврики для лотков,Коврики для лотков,"23,796,065",948,2150.0%,75.2%,69.4%,250
Дом / Мешки кондитерские,Мешки кондитерские,"23,789,342",518,2950.0%,91.2%,53.5%,618
Для ремонта / Источники питания,Источники питания,"23,766,243","1,379",2450.0%,100.0%,71.0%,237
Для ремонта / Устройство защиты,Щиты мебельные,"23,752,586","2,703",2050.0%,72.2%,75.8%,71
Бытовая техника / Насадки для фенов,Насадки для фенов,"23,746,572","1,061",2550.0%,79.1%,66.0%,337
Для ремонта / Баки для подачи воды,Баки для подачи воды,"23,721,317","1,892",2750.0%,66.7%,67.8%,90
Продукты / Сет,Сетки штукатурные,"23,718,154","1,088",2850.0%,100.0%,60.4%,131
Наборы для груминга и ухода,Наборы для груминга и ухода,"23,715,332",960,2150.0%,92.7%,71.0%,450
Товары для взрослых / Страпон,Страпоны,"23,712,226","3,612",2950.0%,77.6%,67.3%,183
Мужчинам / Грации,Грации,"23,652,487",905,3450.0%,21.3%,44.6%,97
Вспомогательные передачи,Вспомогательные передачи,"23,628,107","1,271",2150.0%,70.0%,21.6%,14
